,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
2665,180,164,182,3516,3494,3381,30,19,18,7429,7234,7234,539,471,340,3846,3846,2690,2943,3137,3137
2696,219,162,177,3711,3521,3353,31,18,14,7500,7296,7296,520,493,339,3914,3914,2648,2957,3023,3023
2727,202,172,163,3562,3474,3420,29,16,21,7541,7327,7327,505,454,333,3759,3759,2640,3049,3141,3141
2758,200,168,166,3691,3467,3365,24,16,20,7567,7305,7305,512,460,356,3779,3779,2685,2985,3158,3158
2789,181,187,145,3603,3422,3443,31,23,12,7512,7393,7393,543,450,335,3725,3725,2599,3003,3196,3196
2820,191,158,155,3575,3577,3348,29,16,22,7634,7419,7419,540,455,311,3774,3774,2560,2989,3156,3156
2851,192,169,160,3556,3554,3424,26,15,18,7650,7486,7486,509,458,331,3677,3677,2529,3080,3192,3192
2882,207,168,145,3609,3501,3404,31,26,17,7683,7387,7387,538,475,323,3655,3655,2500,2991,3243,3243
2913,171,168,161,3605,3532,3492,27,20,14,7605,7405,7405,532,466,318,3607,3607,2494,3077,3179,3179
2944,191,174,144,3689,3531,3476,24,19,21,7688,7608,7608,496,487,311,3609,3609,2485,3058,3256,3256
2975,149,155,162,3632,3528,3472,23,13,17,7712,7393,7393,527,473,327,3601,3601,2442,3025,3147,3147
3006,181,149,134,3662,3672,3460,22,26,14,7707,7525,7525,546,440,339,3568,3568,2400,3045,3217,3217
3037,173,149,135,3743,3522,3441,28,16,18,7749,7590,7590,522,484,328,3596,3596,2387,3101,3244,3244
3068,177,155,153,3761,3626,3589,34,14,13,7729,7590,7590,522,483,364,3603,3603,2385,3053,3176,3176
3099,154,168,141,3823,3700,3518,29,16,14,7567,7505,7505,510,507,316,3538,3538,2319,3126,3102,3102
3130,158,146,128,3666,3586,3503,24,15,10,7641,7607,7607,538,476,365,3528,3528,2334,3091,3265,3265
3161,173,157,134,3823,3602,3534,32,22,13,7766,7481,7481,498,456,346,3438,3438,2356,3179,3215,3215
3192,164,120,143,3770,3625,3620,33,12,17,7765,7658,7658,530,447,361,3449,3449,2325,3090,3251,3251
3223,183,134,127,3700,3696,3556,22,8,14,7826,7586,7586,515,471,337,3520,3520,2280,3124,3215,3215
3254,168,143,145,3788,3564,3514,27,16,15,7838,7641,7641,552,489,345,3453,3453,2223,3209,3264,3264
3285,160,134,130,3838,3618,3578,24,24,7,7967,7675,7675,538,493,325,3235,3235,2136,3071,3304,3304
3316,149,138,130,3775,3660,3579,33,16,12,7821,7482,7482,530,433,311,3322,3322,2197,3211,3269,3269
3347,153,116,117,3801,3683,3598,33,8,18,7711,7667,7667,515,472,321,3304,3304,2243,3169,3230,3230
3378,141,126,120,3844,3674,3518,29,18,19,7842,7660,7660,519,500,324,3272,3272,2176,3179,3287,3287
3409,147,137,126,3846,3677,3480,22,16,11,7971,7658,7658,540,454,333,3345,3345,2153,3121,3294,3294
3440,152,128,107,3867,3687,3647,28,18,10,7788,7705,7705,489,469,344,3283,3283,2070,3123,3300,3300
3471,120,131,116,3860,3708,3596,26,18,9,7839,7538,7538,522,481,320,3246,3246,2060,3144,3264,3264
3502,136,117,109,3905,3666,3703,24,12,13,7920,7552,7552,515,433,299,3129,3129,1958,3166,3323,3323
3533,163,118,116,3821,3804,3596,16,13,6,7971,7592,7592,537,475,348,3160,3160,2126,3181,3328,3328
3564,140,109,107,3850,3763,3608,19,11,16,7764,7497,7497,515,439,339,3238,3238,2026,3139,3312,3312
3595,148,115,111,3867,3790,3624,24,15,5,7836,7664,7664,515,465,329,3132,3132,2043,3225,3323,3323
3626,143,109,115,3929,3730,3634,25,9,12,7964,7478,7478,507,496,323,3023,3023,2030,3168,3242,3242
3657,126,122,123,3844,3709,3700,24,16,11,7748,7757,7757,507,471,314,3046,3046,1999,3150,3294,3294
3688,139,122,108,3876,3687,3609,27,16,8,7859,7580,7580,479,476,315,3022,3022,1910,3127,3289,3289
3719,125,119,115,3807,3685,3669,22,8,12,7850,7586,7586,523,479,337,2976,2976,1914,3146,3274,3274
3750,145,107,107,3882,3772,3729,23,16,9,7833,7609,7609,566,451,321,2991,2991,1933,3102,3251,3251
3781,136,98,119,3878,3727,3671,21,17,18,7790,7639,7639,526,449,291,3124,3124,1943,3059,3284,3284
3812,131,91,114,3931,3773,3636,19,12,14,7884,7516,7516,516,461,341,2966,2966,1875,3129,3256,3256
3843,128,107,112,3842,3725,3751,21,11,13,7913,7688,7688,524,462,317,2968,2968,1780,3092,3234,3234
3874,120,110,104,3963,3747,3704,24,12,7,7874,7622,7622,515,481,319,2953,2953,1914,3259,3226,3226
3905,144,111,117,3844,3765,3702,23,6,9,7739,7684,7684,530,465,320,2904,2904,1825,3156,3249,3249
3936,111,97,117,3871,3767,3647,24,18,11,7763,7462,7462,505,477,322,2873,2873,1844,3228,3271,3271
3967,124,101,103,3972,3803,3619,20,12,10,7817,7419,7419,515,456,344,2810,2810,1719,3051,3273,3273
3998,110,96,86,3812,3850,3655,26,15,10,7709,7582,7582,476,438,311,2752,2752,1804,3146,3304,3304
4029,114,105,102,3897,3880,3733,18,7,9,7716,7491,7491,494,479,325,2783,2783,1766,3147,3249,3249
4060,122,98,98,3941,3761,3739,12,12,13,7836,7588,7588,485,425,333,2787,2787,1739,3175,3349,3349
