,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
6106,6638,6380,6550,29174,29348,27452,978,902,890,1519,1497,1498,77087,74300,72545,17727,16743,15955,81459,79359,76328
6137,6617,6406,6643,29465,29478,27449,1008,913,864,1490,1486,1484,77230,74377,72915,17633,16584,16080,81632,79392,76577
6168,6745,6431,6654,29717,29669,27593,962,928,917,1528,1458,1457,77129,74687,72845,17533,16366,16109,81605,79305,76127
6199,6730,6347,6429,29715,29650,27601,966,948,902,1562,1518,1550,77218,74533,72944,17502,16259,15723,81280,79871,76409
6230,6743,6374,6519,29544,29989,27757,911,911,953,1545,1502,1511,77683,74707,73023,17459,16166,15802,82162,80004,76636
6261,6762,6440,6520,29514,29634,27872,947,904,898,1507,1500,1463,77235,74393,73393,17165,16525,15583,81257,80328,76619
6292,6810,6432,6685,29613,29588,27788,968,972,935,1552,1503,1457,77294,75047,73271,17065,15993,15516,81697,79976,77077
6323,6804,6359,6604,30070,29826,27907,1005,908,930,1611,1549,1494,78143,74913,73183,17017,15898,15356,82322,79993,76892
6354,6925,6446,6590,29586,30012,27879,994,908,966,1574,1586,1511,77352,75373,73026,16872,15844,15536,81939,80314,76655
6385,6733,6440,6567,29881,29947,27955,996,926,904,1532,1531,1479,77502,75057,73314,16998,15740,15530,81683,80255,76765
6416,6817,6406,6570,29985,30096,28065,956,966,915,1575,1479,1476,78164,74843,73612,16803,15608,15234,82529,80677,77114
6447,6821,6467,6578,30054,29914,28020,992,928,928,1513,1550,1503,77917,75263,73205,16765,15563,15092,82393,80495,77245
6478,6959,6529,6645,30099,30165,28392,1023,894,913,1513,1577,1480,77991,75453,73782,16746,15395,15109,82733,80974,77617
6509,6768,6476,6602,30316,30217,28331,968,965,934,1520,1561,1516,78298,75433,73372,16530,15337,14815,82896,80864,77438
6540,6882,6494,6610,30364,30029,28138,956,985,966,1518,1532,1488,77769,75153,73720,16294,15229,14898,82576,80750,77781
6571,6965,6537,6608,30240,30425,28404,1028,958,951,1549,1490,1558,78637,75300,73815,16568,15186,14737,82850,81034,77556
6602,6811,6593,6629,30095,30359,28463,1016,913,961,1584,1465,1557,78642,75757,74024,16281,15202,14790,82953,81580,77970
6633,6941,6543,6789,30313,30425,28571,951,911,933,1528,1503,1534,77861,75780,73771,16161,14993,14678,82738,81188,77244
6664,6912,6457,6722,30067,30323,28329,1004,917,934,1551,1556,1484,78605,75420,73750,16067,15114,14630,83037,81610,77618
6695,6836,6541,6885,30459,30463,28286,1012,881,887,1531,1604,1450,78678,75962,74402,15926,14948,14448,83229,81170,78150
6726,6961,6543,6739,30350,30541,28480,996,959,947,1552,1551,1484,78783,75782,74299,15819,14811,14418,83461,81972,77342
6757,6801,6443,6687,30490,30374,28563,1012,948,956,1592,1556,1546,78521,75901,74250,15787,14475,14400,83507,81700,78142
6788,6988,6515,6808,30697,30622,28480,1013,910,958,1578,1593,1522,78510,75726,74406,15626,14474,14145,83321,82031,78443
6819,7002,6470,6736,30430,31079,28832,983,919,939,1594,1572,1522,78549,75650,74614,15333,14569,14179,83946,81731,78641
