,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
5486,1160,1063,1010,16144,15072,14187,3410,3385,3173,349,305,337,128,116,132,3141,2680,2566,19786,21316,15781
5517,1069,1084,1051,16205,15183,14393,3434,3368,3188,329,348,315,114,117,126,3014,2701,2505,19961,21450,15672
5548,1129,1076,969,16354,15309,14424,3410,3397,3156,351,317,308,127,114,112,3124,2661,2503,20126,21153,15509
5579,1150,1054,1027,16482,15240,14484,3382,3330,3232,337,359,321,124,108,121,3169,2640,2572,19927,21366,15619
5610,1106,1056,988,16468,15198,14188,3440,3377,3243,371,332,316,122,95,96,3050,2689,2588,20143,21421,15872
5641,1218,1038,984,16382,15396,14408,3408,3331,3300,337,360,295,107,122,104,3219,2726,2643,20117,21805,15993
5672,1143,1129,1007,16399,15583,14386,3454,3359,3302,318,322,311,103,103,94,3217,2665,2686,20056,21552,15895
5703,1217,1082,1023,16494,15350,14419,3414,3391,3259,333,349,312,130,128,120,3109,2742,2544,20267,21387,15953
5734,1205,1059,1029,16640,15322,14646,3520,3397,3391,369,311,326,120,107,113,3152,2730,2668,20231,21662,16018
5765,1189,1131,1004,16765,15562,14682,3416,3424,3279,373,346,324,100,102,127,3122,2708,2654,20190,21700,16006
5796,1119,1032,1086,16542,15591,14550,3454,3416,3304,347,328,332,115,113,129,3141,2647,2618,20425,21734,15930
5827,1128,1078,981,16549,15566,14633,3468,3403,3361,361,344,322,117,119,119,3198,2710,2706,20519,21832,16098
5858,1138,1135,1055,16660,15651,14583,3467,3450,3270,389,355,312,126,117,123,3118,2747,2655,20636,21847,16048
5889,1152,1075,1025,16736,15776,14823,3520,3440,3318,335,346,316,116,118,121,3205,2758,2679,20352,21826,16058
5920,1174,1099,1031,16801,15730,14780,3503,3524,3283,369,324,314,118,115,143,3227,2809,2616,20492,21944,16112
5951,1137,1078,1000,16894,15605,14973,3543,3440,3466,348,327,308,125,119,111,3227,2760,2550,20558,21961,16062
5982,1182,1116,1059,16753,15728,14892,3526,3429,3349,344,325,315,117,98,125,3179,2727,2678,20513,22176,16180
6013,1201,1095,1076,16927,15840,14694,3479,3418,3278,360,365,329,117,120,109,3245,2811,2663,20470,22148,16291
6044,1162,1110,1080,16956,15835,14883,3565,3426,3389,350,326,317,126,120,126,3262,2782,2669,20596,22326,16248
6075,1179,1125,1063,16746,15832,14835,3570,3486,3389,356,357,322,106,113,126,3205,2835,2675,20659,22275,16467
6106,1177,1135,1060,16878,15929,14807,3669,3524,3341,354,346,323,102,113,118,3196,2794,2669,20680,22196,16500
6137,1190,1085,1032,16936,16144,14827,3611,3447,3386,352,340,325,121,107,123,3336,2790,2678,20678,22662,16371
6168,1209,1101,994,17121,16012,14771,3586,3436,3330,320,335,354,138,127,120,3207,2841,2733,20802,22460,16565
6199,1177,1173,1086,17178,15902,14949,3517,3545,3355,338,338,343,115,108,119,3277,2801,2770,20897,22353,16522
6230,1179,1167,1072,17134,16069,15003,3545,3567,3317,369,361,348,109,120,136,3313,2867,2747,20828,22351,16757
6261,1251,1109,1094,17109,16083,15178,3619,3490,3378,344,343,331,131,111,138,3240,2842,2739,20907,22518,16311
6292,1186,1060,1074,17207,16078,15054,3642,3518,3495,370,338,347,132,117,124,3353,2756,2726,20797,22597,16555
6323,1155,1133,1056,17101,16135,15203,3641,3552,3369,344,348,337,132,123,100,3353,2877,2775,21033,22800,16362
6354,1224,1109,1098,17084,16118,15108,3548,3534,3450,354,347,328,111,120,120,3368,2867,2671,21061,22433,16580
6385,1182,1105,1046,17419,16230,15235,3603,3529,3319,337,329,329,117,106,149,3285,2935,2710,21012,22669,16789
6416,1275,1121,1096,17220,16156,15184,3539,3442,3435,361,345,346,128,108,120,3375,2819,2665,21256,22726,16621
6447,1185,1112,1112,17522,16376,15246,3632,3509,3378,383,353,320,113,113,125,3310,2805,2814,21079,22801,16780
6478,1258,1141,1109,17580,16354,15456,3731,3516,3418,351,361,286,123,111,135,3281,2901,2739,21180,23035,16725
6509,1224,1114,1076,17215,16363,15363,3598,3605,3451,372,360,319,139,120,117,3351,2921,2805,21141,22958,16471
6540,1182,1146,1078,17419,16424,15286,3660,3537,3437,351,354,360,114,118,122,3328,2873,2757,21226,23116,16818
6571,1250,1160,1085,17364,16325,15401,3586,3520,3453,347,381,340,120,128,130,3349,2847,2777,21284,23058,16655
6602,1183,1163,1099,17518,16338,15311,3630,3494,3414,378,361,356,116,107,146,3308,2828,2734,21384,22752,16770
6633,1230,1156,1071,17666,16322,15424,3615,3537,3482,349,360,344,151,100,121,3334,2868,2752,21339,23285,16846
6664,1185,1181,1072,17415,16474,15355,3761,3661,3417,356,338,340,119,107,124,3341,2923,2756,21367,23100,16869
6695,1248,1137,1115,17565,16168,15486,3637,3502,3432,344,359,332,128,128,113,3306,2814,2813,21415,22984,17003
6726,1262,1143,1143,17484,16279,15736,3682,3581,3458,378,379,340,122,112,124,3374,2860,2739,21443,23068,17024
6757,1230,1147,1081,17622,16245,15439,3727,3532,3501,366,351,337,107,110,121,3353,2855,2740,21433,23350,16907
6788,1217,1182,1119,17570,16488,15450,3655,3581,3530,347,398,301,139,103,133,3296,2942,2803,21634,23374,17110
6819,1249,1103,1079,17573,16683,15503,3714,3508,3497,380,348,319,130,112,132,3368,2938,2810,21727,23441,16883
6850,1208,1114,1134,17704,16622,15752,3611,3660,3564,349,358,319,113,115,126,3350,2900,2824,21717,23678,17082
6881,1231,1143,1061,17648,16563,15626,3653,3691,3523,327,354,347,120,128,124,3433,2835,2707,21682,23289,17014
6912,1235,1171,1133,17726,16536,15679,3666,3598,3526,356,327,345,136,108,124,3387,2931,2857,21558,23321,17028
6943,1203,1191,1152,17873,16511,15779,3686,3670,3487,340,380,353,130,108,135,3345,2948,2775,21553,23490,17326
6974,1208,1180,1076,17750,16711,15636,3751,3605,3547,344,359,367,137,112,128,3377,2920,2769,21904,23435,17184
7005,1240,1187,1086,17858,16676,15661,3606,3639,3517,384,361,326,127,122,126,3366,2990,2879,21622,23681,17245
7036,1249,1221,1089,18107,16835,15922,3668,3599,3550,341,373,353,111,135,136,3361,2985,2838,21813,23199,17130
7067,1241,1190,1122,17875,16827,15888,3772,3564,3571,351,347,323,136,118,125,3433,2956,2779,21715,23695,17405
7098,1231,1157,1113,17805,16781,15726,3677,3651,3551,382,359,325,120,106,130,3412,2965,2885,22055,23756,17404
7129,1254,1217,1109,17881,16855,15785,3733,3631,3501,370,374,348,136,112,117,3369,3049,2781,21701,23490,17347
7160,1254,1142,1127,17957,16740,15879,3694,3738,3494,371,359,362,115,111,109,3449,2941,2815,21789,23740,17207
7191,1322,1205,1136,17972,16799,15938,3680,3624,3611,351,366,339,139,120,135,3461,3010,2863,22081,23649,17452
7222,1230,1184,1109,18108,16996,15936,3778,3630,3524,383,371,337,114,103,127,3418,2997,2718,21851,23479,17413
7253,1311,1207,1081,17927,16941,16110,3629,3739,3587,370,373,344,128,115,123,3448,3009,2860,21872,23642,17124
7284,1226,1219,1154,18162,17135,16097,3840,3638,3567,410,361,331,134,111,117,3464,2973,2808,21968,24026,17410
7315,1248,1163,1105,18188,17099,15879,3840,3565,3545,354,378,352,140,113,122,3484,2984,2891,21968,24081,17425
7346,1232,1196,1122,18207,17044,15973,3756,3736,3531,356,379,340,130,123,126,3480,2908,2829,21955,23986,17620
7377,1274,1186,1119,18512,16929,15908,3761,3726,3556,365,370,361,130,113,115,3524,2973,2895,22015,24132,17608
